t1,t2,t3,t4,CF12_34,CF12_34_lo,CF12_34_hi,CF13_24,CF13_24_lo,CF13_24_hi,CF14_23,CF14_23_lo,CF14_23_hi,ngenes
new,herculeanus,chromaiodes,laevissimus,0.526262005019622,0.516205704407952,0.535868625756266,0.283850980863375,0.275280898876405,0.292350907519447,0.189887014117004,0.181503889369058,0.198357821953328,4628
new,herculeanus,modoc_west,pennsylvanicus,0.0518510450597187,0.0481849611063094,0.0557476231633535,0.0429568650822442,0.0393258426966292,0.0473206568712187,0.905192089858037,0.899740514317089,0.910112359550562,4628
new,herculeanus,modoc_west,chromaiodes,0.0319714653387545,0.0276577355229041,0.0356525574011576,0.0275828794197811,0.0250648228176318,0.030034578659157,0.940445655241465,0.936041284347173,0.945548833189283,4628
new,herculeanus,modoc_west,novaeboracensis,0.127611172769136,0.0909680207433016,0.159896318041555,0.463177830092026,0.442523768366465,0.495246326707001,0.409210997138838,0.385479772143425,0.443820224719101,4628
new,herculeanus,modoc_west,laevissimus,0.0264244626935366,0.0220397532325512,0.030466724286949,0.0195586551181708,0.016637856525497,0.0224719101123595,0.954016882188293,0.949437997096371,0.959377700950735,4628
new,herculeanus,pennsylvanicus,chromaiodes,0.684948573179548,0.678694753955325,0.691227312013829,0.0401208254036001,0.0371650821089023,0.0429991449868507,0.274930601416852,0.268798617113224,0.28133102852204,4628
new,herculeanus,pennsylvanicus,novaeboracensis,0.0898402399816106,0.0821089200753933,0.1004753673293,0.880728284673713,0.869490060501296,0.888072793447017,0.0294314753446763,0.0254969694258925,0.0334917891097666,4628
new,herculeanus,pennsylvanicus,modoc_west,0.0518498161332272,0.0481849611063094,0.0555315471045808,0.90468228878185,0.899308556611927,0.909680207433016,0.0434678950849228,0.0397579948141746,0.047752808988764,4628
new,herculeanus,pennsylvanicus,laevissimus,0.39853825089492,0.389152981849611,0.407519534900505,0.179066021109112,0.171780466724287,0.186257562662057,0.422395727995968,0.413137424373379,0.432368193604149,4628
new,herculeanus,novaeboracensis,pennsylvanicus,0.0928154872146119,0.0857821953327571,0.1004753673293,0.0284396480394953,0.0252808934138087,0.0317631806395851,0.878744864745893,0.869706136560069,0.886560069144339,4628
new,herculeanus,novaeboracensis,modoc_west,0.117173993394433,0.0911840968020743,0.163569576490925,0.412968977941793,0.38742437337943,0.441659464131374,0.469857028663774,0.438850475367329,0.493517718236819,4628
new,herculeanus,novaeboracensis,laevissimus,0.0339712223303009,0.0291702679343129,0.038893698983081,0.0210050379021653,0.0175021569787906,0.024632676022618,0.945023739767534,0.938202247191011,0.951382886776145,4628
new,chromaiodes,modoc_west,pennsylvanicus,0.281870628272836,0.276145143443141,0.287597296369338,0.678883760226445,0.672644770959378,0.685177182368194,0.0392456115007196,0.0356525496974935,0.0427830688813891,4628
